"RegionID","RegionName","SizeRank","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
102001,"United States",0,204708,203742,202810,200931.333333333,199143.666666667,197420,195791.666666667,194096.333333333,192482.666666667,190852,189101.666666667,187248.333333333,185346.666666667,183724.333333333,182129,180610.666666667,179142,177922.333333333,177018,176306.666666667,175702,175239.666666667,175059.666666667,174976.333333333,174864,174605.666666667,174402.333333333,174338.666666667,174234.333333333,173948.666666667,173302.666666667,172560,171666,170753,169721.333333333,168732,167726,166738.333333333,165762,164752.666666667,163767,162914,162358.666666667,161999,161717.333333333,161348.333333333,160982.333333333,160599.666666667,160335.333333333,160124,160174.666666667,160386.333333333,160791.666666667,161237.333333333,161789.333333333,162411.333333333,163075,163770.666666667,164520.333333333,165303,166208,167156.666666667,168254.666666667,169375.333333333,170610.333333333,171926,173327.333333333,174720.666666667,176041.666666667,177262,178338,179316.666666667,180246.333333333,181144.333333333,181858,182415,182947.666666667,183558.333333333,184171.333333333,184688.666666667,185178.333333333,185759,186463,187228.333333333,187977.666666667,188757.666666667,189611.666666667,190475,191347.666666667,192131.666666667,192883.666666667,193672.666666667,194500.333333333,195342,196133,197048,198045.666666667,199073,199944,200853.333333333,201743,202681.666666667,203572.666666667,204475,205414.666666667,206412.333333333,207526,208668,209808,210926,212070,213272,214418.333333333,215524.333333333,216501,217502,218588,219786.333333333,221061,222375.666666667,223684.666666667,225040.333333333,226359.333333333,227658.666666667,228843.666666667,229896.666666667,230837,231725.666666667,232601,233463.666666667,234337,235257.666666667,236241.333333333,237154,237945.333333333,238624.666666667,239270,239882,240460.333333333,241057,241730.666666667,242470.666666667,243225.333333333
394913,"New York, NY",1,462616,461571.5,459615.333333333,456525.666666667,452319.333333333,448731,445327,442884.333333333,440298,437431.333333333,434194,431119.333333333,427393.333333333,423597,419700.333333333,415759,412498.666666667,409302,406875.666666667,404609.333333333,403210.333333333,402407,402064,401965.666666667,401960.333333333,402068,401404,400694.666666667,399772.666666667,399989.666666667,400472,400967.666666667,400684.333333333,399640,398031.333333333,396102,394714.333333333,393433,392553,390794,389015.333333333,386832,385266.666666667,383949.333333333,382744.333333333,381483.333333333,379876,378497.666666667,377065,375660,374341.666666667,373251,372683.333333333,372530.666666667,372553.333333333,372676,372757,372890.333333333,373271.666666667,373886.666666667,374524.666666667,375313.666666667,376160,377548,379220,380951.333333333,382755.666666667,384507,386344,388339.666666667,390248.333333333,391940,393784,395398,397160,398522.333333333,399887.333333333,401087.333333333,401972.666666667,402780.333333333,403465.333333333,404124.333333333,404598,405363,406154.666666667,407267.333333333,408014.333333333,409151.666666667,410164.666666667,411434.666666667,412304.666666667,412969.666666667,413654.666666667,414426.666666667,415842.666666667,416929,417738,418357,419323.666666667,420847.666666667,422232.333333333,423432.333333333,424452.333333333,425455.666666667,426532.333333333,427771.666666667,429144.333333333,430672.666666667,432660.333333333,434349.333333333,436449.333333333,438082,440739,443070.666666667,445595.666666667,447579.666666667,449464,451181.666666667,452819.666666667,454488.666666667,456689.666666667,459356.666666667,462350.333333333,465331,467696.333333333,469318.333333333,469925,470442.333333333,471385.666666667,472828.333333333,474404,475688.333333333,476568,477360.333333333,478365.333333333,479467,480338,480535.333333333,480399,479938,479332.666666667,478734,478439
753899,"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,434564,433976.5,432979.333333333,430096.333333333,427052.666666667,424714.666666667,421776,421049.666666667,421874.333333333,424298,425701.666666667,427693.666666667,430283.666666667,430393,428221.666666667,428256.666666667,431025.333333333,435369.666666667,434750,433324.333333333,430369.666666667,428075.666666667,424254.333333333,419309,415879.333333333,413598.333333333,412698.666666667,410831.333333333,409020.333333333,404630.333333333,403739.333333333,403652.333333333,403179.333333333,400207.333333333,396250.333333333,394841.666666667,393374.333333333,391595.333333333,390035.666666667,389586.333333333,390414,392133.333333333,394384.333333333,398154,401620.666666667,405187.666666667,409001,412389.333333333,417286.666666667,422379.333333333,430904.666666667,440159,449370.666666667,456873.333333333,464705.666666667,473119.666666667,482292,489765.666666667,494662.333333333,499170.666666667,502345.333333333,506636,508020.333333333,508931.666666667,508235.333333333,508463,508878.333333333,510700.666666667,510465,510857,511095.666666667,513779.333333333,516489.333333333,520658.333333333,525352,529721.666666667,531370.333333333,533476,535714.666666667,537935,540379.666666667,543285,547273.666666667,550219.333333333,555168.666666667,558695,562850,565007.333333333,568403.666666667,571602.666666667,574506.666666667,576036.333333333,578484,581701.666666667,586160.333333333,589545.333333333,591746,596072.333333333,599438.666666667,603453.333333333,605571,609163,612979.666666667,614816.666666667,616556,618717,622887,628421.666666667,633349,637952,642832,647734,652220.666666667,654488.333333333,657032,656940.666666667,656979.666666667,656356,658623.666666667,659802.666666667,658881.666666667,657910.666666667,656380,655571.333333333,655451.333333333,656412.666666667,658269,657708.666666667,658682.666666667,661175.666666667,665561.333333333,667661.666666667
394463,"Chicago, IL",3,241612,238594,238799.333333333,238590.333333333,240835.333333333,240528,239678,236938.666666667,235810.333333333,233192.666666667,231247.666666667,228000,225624.666666667,224093.666666667,222111.666666667,219921.333333333,216856,214915,213484.333333333,212506.666666667,210847.666666667,209530.666666667,208237.666666667,208151.666666667,207141.666666667,206668.666666667,204635.666666667,204505,202950,203228.333333333,202800,203858,203748.666666667,202646.333333333,200237.666666667,198127.666666667,195872.666666667,193975.666666667,192410,190313.333333333,189041.333333333,187290,186940.666666667,185936.666666667,185267.333333333,183260.666666667,182279.333333333,180256.666666667,179186,176841.333333333,176437.333333333,175745.333333333,175860.333333333,175547.333333333,174828,174299,173692,174438,175223.666666667,175718,176459.333333333,177325.666666667,178100.333333333,179078.666666667,180021.333333333,181967.333333333,183692.666666667,186004,187848.333333333,190368.666666667,191564.333333333,192932.666666667,193510.666666667,194722.666666667,195209.666666667,195267.666666667,195610,196600.666666667,197532.666666667,197977.666666667,198512.666666667,199123,199802.666666667,200389,200753.333333333,201203,201966.666666667,203028.666666667,203795.333333333,203800.666666667,203832.666666667,203856,204021.333333333,204321,204721,205622.666666667,206575.666666667,208306,209626.333333333,210510.333333333,210868.666666667,211223.333333333,211896,212460.333333333,212964.666666667,213679.666666667,214787.333333333,216307,218040,219741.333333333,221456,222655.333333333,223363.333333333,223500.333333333,223502.333333333,223773.333333333,224382.333333333,225511,226741.666666667,228321.666666667,229949.666666667,231407.666666667,232214.333333333,232645.666666667,232906,233303.333333333,233506.666666667,233759.666666667,234250.666666667,234864.333333333,235633.333333333,236242.666666667,236794.333333333,237617.333333333,238238,238605.333333333,238545.333333333,238307.333333333,238186.333333333,238014.666666667,237957,238029.333333333,238254.666666667
394514,"Dallas-Fort Worth, TX",4,155762,155011.5,154538,153567,152870,152417.333333333,152217.333333333,152062.666666667,151589,150883.666666667,150060.333333333,149502,149147,149135.333333333,149190.666666667,149237.333333333,149226,149038.333333333,149030.333333333,149136,149445,149664.666666667,150171.333333333,150483.666666667,150433.333333333,150085.333333333,149753.333333333,149896.666666667,149827.333333333,149750.666666667,149078.333333333,148510,147712,147068,146104,145520.666666667,145096,144501,143932,143074.333333333,142568,141906,141778.666666667,141899.333333333,142250,142373.333333333,142176.333333333,141694.666666667,141406.333333333,141775,142362,142959.666666667,143342.666666667,143837,144510.333333333,145154.666666667,145744,146242.333333333,146827,147361,148061,148606.333333333,149454.666666667,150315,151365.333333333,152463.666666667,153668.666666667,154830,156112.333333333,157451.333333333,158788.333333333,159893.666666667,160671,161545.666666667,162358,163209.666666667,164054.666666667,165128,165895.333333333,166826,167559.666666667,168779,170057,171460.666666667,172898,174258.666666667,175814,177430.333333333,179181.333333333,180961.333333333,182737.333333333,184038.333333333,185209.666666667,186487,188125.333333333,189989.666666667,191522,193097,194514.333333333,196256,198139.333333333,199960.333333333,201880,203247,204692.666666667,206228.666666667,208187.666666667,210274,211995.666666667,213833,215257.333333333,216942,218460,220045.666666667,221332.666666667,222547.666666667,224114.333333333,225947.666666667,227806,229413.333333333,231059.333333333,232928.666666667,234780,236291.666666667,237417.333333333,238527,239440,240516.666666667,241389.666666667,242459.666666667,243511.666666667,244842.666666667,246525,247668.666666667,248296.666666667,248276.666666667,248374.666666667,248380.666666667,248503,249192,250377.333333333,250994.666666667,251320
394974,"Philadelphia, PA",5,247743,247707,247272.666666667,246557.333333333,245224.333333333,243877.333333333,242436.666666667,241218,240018.666666667,238744.666666667,237400.333333333,235952,234409,233105.333333333,232048.666666667,231191.666666667,230236.333333333,229372.333333333,228549.666666667,228078,227743.333333333,227880,228121.666666667,228237.333333333,228220,227837,227350,226942,226898.333333333,227048,226864.333333333,226169,224970.333333333,223465.666666667,221708,220189.666666667,218870.666666667,217854.333333333,216672.666666667,215209.666666667,213565,212019.666666667,210887.666666667,210168,209448.333333333,208701.666666667,207830.333333333,207094.333333333,206164.333333333,205185.666666667,204498.666666667,204144.666666667,203939.666666667,203547.666666667,203141.333333333,202855.666666667,202804.666666667,202740.333333333,202726,202644.333333333,202795.333333333,202892,203124,203478.666666667,204292.666666667,205308.333333333,206406.333333333,207206.666666667,208051.333333333,208669.333333333,209272.666666667,209542.666666667,209926.666666667,210288,210406.333333333,210048.333333333,209992.333333333,210228.666666667,210683,210692.666666667,210672.666666667,210732,210981,211301.666666667,211532.666666667,211719.333333333,212003.666666667,212454.666666667,212764.666666667,212964.666666667,213185.666666667,213581,213909.333333333,214023.333333333,214044,214033.666666667,214210.333333333,214532,214747.666666667,215132,215563.666666667,216418,217036.666666667,217673,218173.666666667,218913,219638.333333333,220631.333333333,221706.666666667,222592,223196.333333333,223718,224391,224995.333333333,225435.666666667,225998.666666667,226695,227761,228785.333333333,229912.333333333,230820.666666667,231985.666666667,233357,234745.666666667,235690,236211,236687.333333333,237176.333333333,237914.666666667,238573,239548,240513.333333333,241546.666666667,242293,243139.333333333,243741.666666667,244368,244587.666666667,245071,245569.333333333,246123.333333333,246591.333333333,247154.666666667
394692,"Houston, TX",6,154465,154286,154096.333333333,153623.666666667,152996.333333333,152473.333333333,152095.666666667,151692.333333333,151282.666666667,150946.333333333,150397.666666667,149685.666666667,148833.333333333,148582.333333333,148340.333333333,148290.333333333,148269,148599,149124,149434.333333333,149525,149363.666666667,149613.666666667,149952.333333333,149988.333333333,149931.333333333,150058.666666667,150392.333333333,150508.666666667,150112.333333333,149182.666666667,147962,147070.666666667,146490.666666667,146204.666666667,145826,145274.666666667,144488.333333333,143413.333333333,142581.666666667,141922.333333333,141526.666666667,141389,141453.666666667,141500,141448,140773,140350.666666667,140214.666666667,140505.666666667,140945.666666667,141202.666666667,141586,141796.333333333,142337,142945.666666667,143479.666666667,143650.333333333,144050,144458.666666667,145249,146097.333333333,147538.666666667,149119.333333333,150612.666666667,151780.333333333,153030.666666667,154465.333333333,155956.666666667,157433,158772.666666667,159985,161300.333333333,162587,163617.333333333,164420,165194.333333333,166429.333333333,167854.666666667,169628.666666667,171362.666666667,172874,174207.333333333,175561,176991,178215.333333333,179583,180837,182087.333333333,183107,183792.333333333,184379,185000.666666667,185967.333333333,186804,187570.666666667,188543.333333333,189352,189806.666666667,189923.666666667,190430.333333333,191074,191784.666666667,192114.333333333,192458,192769.333333333,193723.666666667,194804.333333333,195470.666666667,195997.666666667,196526.666666667,197214.333333333,197659,198093.666666667,198398.666666667,198656.666666667,199004.666666667,199547.333333333,200284,200978.666666667,201655.333333333,202079.666666667,202545.666666667,203474.666666667,204466,205282.333333333,205774.666666667,206662.666666667,207671.333333333,208665.333333333,209402,210062.666666667,211090,211895.333333333,212321.666666667,212261.666666667,212348,212776.333333333,213280,213831.333333333,214229.666666667,215009.333333333,215706.333333333
395209,"Washington, DC",7,412632,408842,405143.666666667,398317,391388.666666667,385471.333333333,380155,375754.333333333,370956.333333333,366146.666666667,361316.333333333,356874,351703,346573,341773,338058.333333333,336214,335319.333333333,335063.333333333,334639,333788.666666667,333148.666666667,332902,333596.666666667,334668.666666667,334664,335093.666666667,335837.666666667,337643.666666667,338244.666666667,338167,337507.666666667,336974,335953,334052.333333333,332435.333333333,331379.333333333,331465.666666667,331151.666666667,330890,330129,330105,329732.333333333,329568,328729.666666667,327894,327569.666666667,327167.666666667,326927,326873.666666667,328036.333333333,329366.333333333,330782.666666667,332263.666666667,334165.666666667,335834.666666667,337079.666666667,338553,340541.666666667,342749,345206,347241,349273,351151.666666667,353579.666666667,355782,358207,360709,363968,366733,369270.333333333,370672,372087.333333333,373500.333333333,374815.333333333,375747.666666667,375655.333333333,375334,375410.333333333,375418.333333333,375815,375963.333333333,376356.666666667,376553,376291.666666667,376860,377654.333333333,378043,378045.666666667,377916.666666667,378166.333333333,378179.333333333,378498.333333333,379231,379966,380889,381589,381603.333333333,381622.666666667,382325.666666667,383862.666666667,384860,385545.333333333,386020,387301,388475,389844.666666667,391445,393596.333333333,396234.333333333,397617.333333333,398348.666666667,397991,398390.333333333,398879.666666667,400207.333333333,401568.333333333,403353.666666667,405202,406326,407187,408078.666666667,409610,411173,412643,413793.333333333,414645,415128,415697.666666667,416565.333333333,417415,418877.333333333,420508,422626.666666667,424069.666666667,424879.666666667,424981,425080,424897,425729,427153.333333333,429340.333333333,431428
394856,"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,216908,214731,212803,208886.666666667,204779.333333333,200397.333333333,195968.666666667,192738.666666667,189826.666666667,187443.333333333,185063,183468.333333333,182026,180422,179278.333333333,178643.333333333,178581,178227.333333333,177620.333333333,176432,175251.333333333,173862.333333333,172525.333333333,170571.666666667,168825,167229.666666667,165656.333333333,164293,163146.666666667,162546.666666667,161801.666666667,161018.666666667,160151.666666667,159662.666666667,159356.666666667,159288,159276,159173.333333333,159314.666666667,159194.333333333,159580.666666667,160111.333333333,161179.666666667,162390,163565.333333333,165118.333333333,166868.666666667,168575,169857,171191.666666667,173060.333333333,175414.333333333,178087,181102.333333333,184040.666666667,186463.333333333,189077,191827.333333333,194924,197732,201062.666666667,204203.666666667,207193.666666667,209116.333333333,210987,212021.666666667,213643,214976.333333333,216937.333333333,218411.333333333,219906.666666667,221530,222469.666666667,223815,224823,226568.666666667,227596.666666667,228914.666666667,230018.666666667,231498.333333333,232698.333333333,234092.333333333,235828,237454.666666667,239400,241188.666666667,243071.333333333,244678.666666667,245866.666666667,247273.666666667,248762.666666667,250906.333333333,253045,254885.333333333,256252.333333333,257627.333333333,259231,261081,262560.333333333,263911.666666667,264730.333333333,266082.333333333,267404.333333333,268873.333333333,270189,271948,273562.666666667,275421,276412,277769.666666667,278526.666666667,280123.333333333,281826,283365.333333333,285030.666666667,286308,287867,288799,289563.666666667,290116.666666667,291820.666666667,293329.666666667,294763.333333333,294640.333333333,294927.666666667,295278.333333333,295647,296243.666666667,296649,296883,296964,297698,298564.666666667
394347,"Atlanta, GA",9,193619,192713,191834,190368.333333333,189135.333333333,188028,186794.666666667,185446.666666667,184112.333333333,182431.666666667,180012.333333333,176983.333333333,173978.333333333,171282,168733,166065,163654.666666667,161758,160569.666666667,159722.666666667,158865.333333333,157787.333333333,156828,156340.666666667,155733.333333333,155139.333333333,154382,154212.666666667,154072,153729.666666667,152311.666666667,150485.333333333,148129.666666667,146225,144211.666666667,142580.333333333,140863,139544.333333333,137882.333333333,136047.666666667,133675.666666667,131615,130108,129536,129527.666666667,129571,129335.666666667,128314.666666667,127704,127165.666666667,127852.333333333,128485,129389,130314.333333333,131361.666666667,131955.333333333,131928.333333333,132066,132901.333333333,134047,135512.333333333,137106.666666667,138952.333333333,140566.333333333,142373,144291,146308,148531,150828.666666667,153036.666666667,154881.666666667,156770.666666667,158374.333333333,159783.666666667,160795.333333333,161759.333333333,162655,163453.333333333,164459,165264,166075.333333333,166744.333333333,167554,168459.333333333,169391,170210.666666667,170828.666666667,171595.333333333,172667,173864.666666667,174714.333333333,175518.333333333,176359.333333333,177204.666666667,178114.333333333,179059.333333333,180300,181461.333333333,182816.666666667,184186,185395.666666667,186177.666666667,186722,187248.333333333,187778.666666667,188742.666666667,189983,191723,193032.666666667,194422.666666667,195515.333333333,196735.666666667,197944.666666667,199282,200683,201768,203277.666666667,204709.333333333,206509,208429.666666667,210569,212628.333333333,214102.333333333,215491.333333333,216806,218184,219594,220951.666666667,222506.666666667,224111.333333333,225697,227125,228236.666666667,229316,230491.333333333,231669.666666667,232602,232897.666666667,233357.666666667,234031.666666667,235044,235879,236768.666666667
