"RegionID","RegionName","SizeRank","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
102001,"United States",0,202096,201195,200312.333333333,198535,196830.333333333,195185,193627,192005.333333333,190468,188921.666666667,187259,185495.333333333,183679.333333333,182128.333333333,180596.333333333,179133,177711,176531,175661.666666667,174985,174414,173980,173824,173760,173669,173432.666666667,173252,173200.666666667,173111.333333333,172847.666666667,172231.333333333,171516.666666667,170650,169768,168771,167807,166826.333333333,165856,164898.666666667,163901.666666667,162937.333333333,162100,161565,161222.666666667,160963.333333333,160613.666666667,160261.333333333,159893.333333333,159642.333333333,159443.666666667,159499,159709.666666667,160109,160547,161091.666666667,161705,162354.666666667,163028.666666667,163757.333333333,164514.333333333,165389.333333333,166302.333333333,167362.333333333,168441.333333333,169633.666666667,170908.666666667,172268,173617,174894.666666667,176081.666666667,177127,178079,178980.333333333,179853.333333333,180550.666666667,181101,181629.666666667,182235,182838.666666667,183350.333333333,183829.666666667,184396.333333333,185088.333333333,185838,186571,187331,188169,189023.666666667,189886,190663.333333333,191406,192182.666666667,192994.333333333,193819.333333333,194593.333333333,195487.666666667,196461.666666667,197471.666666667,198338.666666667,199249.333333333,200143.666666667,201080.666666667,201973.666666667,202874,203811,204801.333333333,205907.666666667,207045,208178.333333333,209294.333333333,210433.666666667,211634.666666667,212774.666666667,213876.666666667,214844.666666667,215837.333333333,216912.333333333,218098.333333333,219363,220668.666666667,221968,223306.333333333,224610,225905.333333333,227092.666666667,228147,229087,229976.666666667,230855,231718.666666667,232592,233521,234522,235459,236269.666666667,236966.333333333,237632.666666667,238266,238865,239482,240176.333333333,240934.666666667,241697.333333333
394913,"New York, NY",1,466671,465551,463560.666666667,460344.666666667,455985.333333333,452198,448651.333333333,446138.666666667,443504,440591.333333333,437297,434224,430474.666666667,426638.666666667,422613.333333333,418694.333333333,415396,412252,409819,407660.333333333,406390,405693.333333333,405409.666666667,405410.333333333,405439.333333333,405551.666666667,404922.666666667,404178,403155.666666667,403181.666666667,403477.333333333,403938,403588.666666667,402469,400818.666666667,398836,397417,396026,394902,392966.333333333,391057,388795.666666667,387117.666666667,385586.333333333,384182.666666667,382751,380982,379433.666666667,377868.666666667,376368.666666667,375071.666666667,373922.333333333,373361,373186.333333333,373244.333333333,373300.333333333,373288.333333333,373258.666666667,373516,374005.333333333,374491.666666667,375197.666666667,375937.666666667,377287.333333333,378908.666666667,380591.333333333,382369.333333333,384000.666666667,385767,387701.666666667,389584,391210.333333333,392981,394471.666666667,396039.333333333,397141.333333333,398300,399402,400254,400966,401544,402078,402480.333333333,403143.666666667,403778.333333333,404755.666666667,405404.666666667,406447.666666667,407332,408450.333333333,409242,409827,410450,411147.666666667,412498.666666667,413501.333333333,414302.666666667,414936,415966.666666667,417476.666666667,418852,420002,421014.666666667,422019.666666667,423158.666666667,424451.666666667,425898.666666667,427413,429415.666666667,431130,433319,435004.333333333,437724,440100,442611.333333333,444597,446394,448031.666666667,449565,451178.666666667,453391.666666667,456005,459025,462067,464545.666666667,466277,466901,467405.333333333,468269.666666667,469721.666666667,471257.333333333,472598,473510.666666667,474389.333333333,475403.333333333,476585.333333333,477496,477756.333333333,477607.666666667,477235.666666667,476759.666666667,476325,476108
753899,"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,449419,448749.5,447741,444788,441679.666666667,439341.666666667,436414.666666667,435860,436782,439438.666666667,441095,443510.333333333,446377.666666667,446621.333333333,444485.666666667,444671,447672.666666667,452214.333333333,451705.666666667,450382.333333333,447537.333333333,445312,441456,436420.333333333,432909.333333333,430621.666666667,429725.333333333,427898.333333333,426023,421526,420613.666666667,420685.666666667,420316,417360,413362,412018,410647.666666667,408895,407335,406926,407780.666666667,409602,411954.333333333,416002,419677.333333333,423446.333333333,427450.666666667,431066.333333333,436241.666666667,441669,450639.666666667,460312.333333333,470729.666666667,479358,488309.666666667,496970.333333333,506394.333333333,514099,519084,523695.333333333,526983,531373,532762.333333333,533562.666666667,532691.666666667,532755,533080.666666667,535015.333333333,534883.333333333,535424.666666667,535751.333333333,538597.666666667,541444,545824.666666667,550773.333333333,555392.333333333,557137.333333333,559304.666666667,561639.666666667,563954.333333333,566530.666666667,569550,573753.333333333,576792.333333333,581972.333333333,585748.666666667,590196.666666667,592541,595954,599212.666666667,602098.666666667,603635.666666667,606169,609469.666666667,614123.666666667,617622.666666667,619913.666666667,624431,627925,632131.333333333,634199,637792.666666667,641596.333333333,643435,645206.666666667,647400.666666667,651728.666666667,657398.333333333,662517.333333333,667318.666666667,672457,677567.333333333,682095,684261.666666667,686706,686484.333333333,686479.333333333,685768.333333333,688152.666666667,689364.666666667,688414.333333333,687460.333333333,685961.666666667,685285,685092.666666667,686069.666666667,687943.666666667,687565.666666667,688800.666666667,691612.666666667,696304.333333333,698548
394463,"Chicago, IL",3,253906,250754.5,250879.666666667,250487.666666667,252567,252047.333333333,251186,248412.333333333,247273.666666667,244419.666666667,242245,238762.333333333,236190.666666667,234507.666666667,232352,229946.333333333,226651.666666667,224491,223046.666666667,222068,220432,219001,217633.333333333,217496,216398.333333333,215824.333333333,213676,213521.333333333,211938,212249.666666667,209919.333333333,209096,207082.333333333,205972,203536,201406.333333333,199124.333333333,197206.333333333,195610,193458.666666667,192161.333333333,190390,190227,189386.666666667,188888,186851,185852.666666667,183789.333333333,182713.666666667,180348.333333333,179949.333333333,179257,179385.666666667,179085.666666667,178508,178126.666666667,177649.666666667,178387,179158.333333333,179641.666666667,180353.666666667,181188.333333333,181926,182905,183826.666666667,185761.333333333,187614.666666667,190072.333333333,192059.666666667,194555,195717,197038.666666667,197562.666666667,198730,199162.333333333,199187.333333333,199482.666666667,200443.333333333,201510.333333333,202079,202723.666666667,203260,203879.666666667,204405.333333333,204706.333333333,205082.666666667,205788.666666667,206786.333333333,207507.333333333,207455,207616.333333333,207757.666666667,208046,208299.333333333,208658.666666667,209518.666666667,210427.333333333,212097.666666667,213369.333333333,214221.333333333,214556.333333333,214880,215676.333333333,216367,217009.666666667,217693,218773,220270,221975.666666667,223647.333333333,225317.666666667,226485,227166,227264.333333333,227391.333333333,227785,228523,229637.666666667,230845.333333333,232402.666666667,233976,235395.666666667,236181,236602,236837.666666667,237200.333333333,237558.333333333,237965.333333333,238617,239191,239911,240467.666666667,241002.666666667,241818.666666667,242422,242732.666666667,242607,242295.333333333,242301,242267.666666667,242353.333333333,242371.666666667,242538
394514,"Dallas-Fort Worth, TX",4,156894,156155.5,155681.333333333,154715.666666667,154015.666666667,153565.666666667,153361.333333333,153197.666666667,152722.333333333,152024.333333333,151231.333333333,150684.666666667,150340,150313.666666667,150363.333333333,150396.666666667,150377.666666667,150189,150189.333333333,150309.666666667,150626,150849.333333333,151361,151686,151646.333333333,151307.666666667,150985.666666667,151145,151089.333333333,151019.666666667,150355,149783.333333333,148988.666666667,148337.333333333,147373,146787.666666667,146363,145768.666666667,145201.666666667,144348.333333333,143855.666666667,143202.666666667,143090.666666667,143214.333333333,143567.666666667,143692,143497,143021,142738.666666667,143116.333333333,143710.666666667,144324,144724,145233.666666667,145908.666666667,146550.666666667,147140,147641.666666667,148233.666666667,148775.333333333,149482.666666667,150036,150893.333333333,151760,152818,153924,155137.666666667,156305,157593,158940.333333333,160289,161406.333333333,162198.666666667,163087.333333333,163911.333333333,164775,165631.333333333,166718,167514.333333333,168468.666666667,169218.333333333,170439.333333333,171720.333333333,173132.666666667,174584.666666667,175966.333333333,177544,179167.666666667,180925.333333333,182717.333333333,184509.666666667,185837.666666667,187025.666666667,188311.666666667,189945.666666667,191812.333333333,193368,194973.333333333,196416.333333333,198171,200056.666666667,201880.666666667,203798.666666667,205181.666666667,206635.333333333,208182,210135,212225.666666667,213949.333333333,215793.666666667,217217.333333333,218900.666666667,220412.666666667,221995.333333333,223277.333333333,224514.666666667,226105.333333333,227964.666666667,229819.333333333,231416.333333333,233043.666666667,234902.333333333,236757,238289.333333333,239428,240542.333333333,241446.666666667,242506.666666667,243376,244448.666666667,245509.333333333,246838,248507.333333333,249636.666666667,250247.666666667,250222,250325.333333333,250327.666666667,250440.333333333,251112.333333333,252282.666666667,252907,253236.666666667
394974,"Philadelphia, PA",5,251345,251299.5,250870.333333333,250129,248762.666666667,247359.666666667,245879,244618.333333333,243375,242058,240687,239228.666666667,237664.666666667,236345.333333333,235251.333333333,234382.333333333,233388.666666667,232508.666666667,231662.666666667,231186.333333333,230838.333333333,230979.333333333,231219.666666667,231336.666666667,231311.666666667,230914.666666667,230435,230033.333333333,230019.333333333,230179.666666667,230000.333333333,229297,228100,226594,224830,223321,222006.333333333,220995.333333333,219782.666666667,218291.333333333,216610.666666667,215032,213883.333333333,213143,212407.666666667,211624.333333333,210733.666666667,209977.333333333,209031.666666667,208040,207342,206981,206773.333333333,206380.666666667,205969.666666667,205674.333333333,205621,205565.666666667,205556.333333333,205470,205623,205741.666666667,206003.333333333,206378,207192,208202.666666667,209304,210120.666666667,210998.666666667,211640.333333333,212252.333333333,212527.666666667,212927,213287.333333333,213407,213060,213049.333333333,213322.333333333,213794.333333333,213809.333333333,213793.333333333,213857.666666667,214115,214424.666666667,214649.333333333,214828.666666667,215119,215567,215883.666666667,216106.666666667,216357.333333333,216777.333333333,217114.333333333,217231.333333333,217254.666666667,217262.333333333,217460.333333333,217792,218016.666666667,218412.333333333,218864.333333333,219730.333333333,220365.666666667,221018.666666667,221538.666666667,222304.666666667,223057,224076.333333333,225171,226078.666666667,226692,227214,227889.333333333,228513.333333333,228972.666666667,229567.666666667,230298,231400.333333333,232447.666666667,233582.666666667,234513,235701.333333333,237101.666666667,238517.666666667,239486,240033.666666667,240525.666666667,241022,241757.666666667,242415,243399.666666667,244378,245416,246171,247036.333333333,247667.666666667,248302,248529.333333333,249018.333333333,249530.333333333,250092.666666667,250572.333333333,251151.666666667
394692,"Houston, TX",6,155889,155714,155526.333333333,155057.666666667,154427.666666667,153900,153516.666666667,153111,152702,152365.666666667,151818.666666667,151106.333333333,150253,150000.333333333,149757,149709,149690.666666667,150027.333333333,150561.333333333,150884.666666667,150982,150828.666666667,151081.666666667,151433,151484,151448.666666667,151594.666666667,151943,152067.333333333,151681,150757.333333333,149542.333333333,148654.333333333,148077.666666667,147793.666666667,147417.333333333,146868,146083.333333333,145005,144165.666666667,143495.666666667,143089.333333333,142947.666666667,143006.333333333,143046.666666667,142986,142302.333333333,141872.666666667,141738,142033,142482.333333333,142744.666666667,143143.666666667,143360.333333333,143904,144512,145044.333333333,145211,145610,146019,146809.333333333,147658,149107,150696.333333333,152195.666666667,153366,154622,156063.666666667,157566,159057,160411.666666667,161635,162960.666666667,164254,165291.333333333,166093.666666667,166868,168106,169543,171329,173075.666666667,174597.666666667,175939.666666667,177301.666666667,178733,179963.333333333,181332.333333333,182598.666666667,183859.666666667,184891.666666667,185584,186174.666666667,186797.666666667,187764.666666667,188605.666666667,189380.666666667,190355.333333333,191159,191605.333333333,191722.666666667,192234.333333333,192884.333333333,193595.666666667,193933,194286,194611.666666667,195570.333333333,196654,197323,197860.333333333,198398,199089,199533,199970.666666667,200283,200549,200910,201464.333333333,202209.666666667,202908,203587.333333333,204010.666666667,204476.333333333,205412.666666667,206415.666666667,207245,207741,208636,209647.333333333,210647.333333333,211390.666666667,212056,213091,213897.333333333,214328,214270.333333333,214364.666666667,214801.666666667,215314.333333333,215866,216268.333333333,217050.666666667,217764
395209,"Washington, DC",7,434819,430874.5,426846.666666667,419486.666666667,411978,405727.333333333,400128.666666667,395451.333333333,390244.333333333,385026.666666667,379769.666666667,374992.333333333,369497.666666667,364084.333333333,359062.666666667,355130,353273.666666667,352361.666666667,352231,351876.666666667,351065.666666667,350445.333333333,350290.333333333,351194.333333333,352438.666666667,352483.333333333,352998,353859,355843,356441.666666667,356334.333333333,355611,355168.333333333,354241,352291.333333333,350497,349285.666666667,349329,349080.666666667,348953,348303.666666667,348416.666666667,348137,348129.666666667,347292.333333333,346351,345990.333333333,345693.666666667,345577.333333333,345672.666666667,346922.666666667,348369,349836.666666667,351382.666666667,353288,354941.333333333,356197,357814,360056.333333333,362484.333333333,365178.333333333,367354,369476,371381,373856.666666667,376130,378717.333333333,381359.666666667,384895.666666667,387846.666666667,390576.666666667,391992,393449.666666667,394894.333333333,396269.333333333,397247,397188,396899.666666667,396995.666666667,396995,397425,397636.333333333,398079,398337.666666667,398071,398705,399541.333333333,399933.666666667,399904,399713.333333333,399926,399916.333333333,400234,400989,401751,402703.666666667,403381.666666667,403304.666666667,403314.666666667,404146.333333333,405887.666666667,407028.333333333,407830,408412.333333333,409851,411152,412590.666666667,414297.333333333,416564.333333333,419400.666666667,420888.666666667,421733,421400.666666667,421862,422363.666666667,423805,425230.333333333,427146,429129.333333333,430299.666666667,431313.666666667,432219.333333333,433908,435523,437085.666666667,438294.333333333,439144.666666667,439646.333333333,440244.333333333,441137.333333333,441985.333333333,443490.666666667,445182,447464.666666667,448942.666666667,449724.333333333,449693.666666667,449728.666666667,449516,450375.333333333,451830.333333333,454128,456362.333333333
394856,"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,245985,243525,241369.666666667,237030,232420.333333333,227532.666666667,222649.333333333,219302,216468.666666667,214239.333333333,211959,210483.333333333,209254.333333333,207925.666666667,207158.333333333,206846,207129.666666667,206945.666666667,206406.333333333,205136.333333333,203897.666666667,202442.666666667,201037.333333333,198875.666666667,196914,195071,193275.333333333,191783.333333333,190561.333333333,189956.333333333,189122.666666667,188196,187146.333333333,186477.666666667,186056.666666667,185918.666666667,185837.666666667,185624.333333333,185676.666666667,185375.666666667,185794.666666667,186305.333333333,187461.666666667,188658.333333333,189879,191608,193549.666666667,195415.333333333,196747.666666667,198101.333333333,200075.666666667,202614.666666667,205574.333333333,208970,212299.666666667,215058.666666667,218011,221139.333333333,224691.333333333,227980,231868.666666667,235520.666666667,238927,241122.666666667,243207.333333333,244397,246259,247911,250187,251870.333333333,253549,255369,256464,257973.333333333,259140.333333333,261129,262324.666666667,263880,265232.666666667,267001.666666667,268449,270098,272144.666666667,274039.666666667,276255.333333333,278354,280518.333333333,282354.666666667,283631.333333333,285248.333333333,286975,289477,291939.666666667,294042.666666667,295602.666666667,297190.333333333,299071.333333333,301225.666666667,302919.333333333,304495.333333333,305444.333333333,307008,308551,310250.666666667,311764.333333333,313765.333333333,315630.333333333,317816.666666667,318995.666666667,320586.666666667,321528,323442.333333333,325463.666666667,327285.333333333,329251.666666667,330756.333333333,332488.666666667,333494.333333333,334278,334861,336732,338461.333333333,340098,339984.666666667,340301,340737.666666667,341154.666666667,341791,342167.666666667,342347.333333333,342401.333333333,343260.666666667,344288.666666667
394347,"Atlanta, GA",9,195321,194446,193559.333333333,192100,190830,189694.333333333,188425.666666667,187041,185654.333333333,183909,181437.333333333,178354.333333333,175332.666666667,172591.666666667,170026.666666667,167314.666666667,164877.333333333,162950,161733.333333333,160884,159996,158888.333333333,157895.666666667,157406.666666667,156822.666666667,156253.333333333,155530.666666667,155363.666666667,155243.666666667,154925.333333333,153530.333333333,151693,149339.666666667,147436.333333333,145441,143779.666666667,142045.666666667,140701.666666667,139047,137204.666666667,134833.666666667,132747,131223.333333333,130642.666666667,130648.333333333,130723,130506.333333333,129485.333333333,128888,128362.666666667,129097,129766,130718,131673,132757.333333333,133363.666666667,133350,133508,134373,135555.333333333,137034.666666667,138670,140541,142163,143974.666666667,145890.333333333,147904,150127.666666667,152440,154684,156544.666666667,158447.333333333,160041.666666667,161435,162423.333333333,163383.333333333,164275,165079.666666667,166084.666666667,166886.666666667,167692,168353,169161,170065.666666667,170989,171805.666666667,172393,173127,174156.333333333,175325.666666667,176170.333333333,176979,177821.666666667,178661,179544.666666667,180497.666666667,181715,182857,184159.666666667,185512.333333333,186723,187519,188085,188631.666666667,189196,190138.666666667,191360,193073.333333333,194361.666666667,195714,196760,197984.333333333,199204.333333333,200552,201938.666666667,203004.666666667,204483.333333333,205899.666666667,207710.666666667,209649.333333333,211787,213826.333333333,215274,216660,217964.333333333,219336.666666667,220735.666666667,222103,223667.666666667,225278,226870,228323,229459.333333333,230578,231786.666666667,232998.666666667,233932,234258.333333333,234738,235447,236475.333333333,237338.333333333,238249.666666667
394404,"Boston, MA",10,396043,393933.5,392696.666666667,389494.666666667,386692.333333333,384083.333333333,382238.333333333,380902.333333333,379425,377429,375033,372135.666666667,369536.333333333,366877,363826.333333333,361075.666666667,359353.333333333,358981,359249,359713.666666667,360391,361218.333333333,362117.666666667,363423,364650,365930.333333333,366678.333333333,367052,366998,366817.333333333,366572.333333333,366534.666666667,365472,364605.333333333,363392.333333333,363101,362284,360626.666666667,358320.666666667,356494.666666667,354895.333333333,354299.333333333,353177.333333333,352483.666666667,351175,349915.666666667,348321.666666667,347033.666666667,345759.333333333,345270.666666667,345551,346236.666666667,347087.666666667,347565.333333333,348621.333333333,349675.666666667,350706.666666667,352356.333333333,354367.333333333,356791,357668.666666667,360065.333333333,363202.333333333,367632,370708.333333333,372612.333333333,374422,376879.666666667,380383,383650.666666667,385987.333333333,387601.333333333,389029.333333333,389990.333333333,391316,393080.333333333,394938,396458.666666667,397551.333333333,398610,399009.666666667,398917.666666667,399166,400931,403893.333333333,407066.666666667,409221.333333333,409668.666666667,410457.666666667,411349.333333333,413599.666666667,415481,417087,418876.666666667,420200.666666667,421146,422819.333333333,424843,427293.333333333,429809.333333333,432699.333333333,435027,435879.666666667,436417.333333333,438253,440036.333333333,442784,444682,446646.666666667,448059.333333333,449988.666666667,452733,455351.666666667,458057.333333333,460918.333333333,462231,464069,465553.333333333,468910.666666667,471259,473932,476540.333333333,480193.666666667,483070.666666667,485597.333333333,487283,488410.333333333,489230,489511.333333333,490584.333333333,491264.666666667,492544.666666667,493783.666666667,494879.333333333,494800.333333333,494288.333333333,493745.666666667,494143.333333333,494261.333333333,494997.666666667,496567.333333333,498103.666666667,499574.666666667
