"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-11-30,"United States",,0,1600.22,0.0008,0.0052,0.0232,104842268
2019-11-30,"New York, NY","NY",1,2304.99,0.0018,0.0098,0.0275,5493121
2019-11-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2637.13,0.0063,0.0106,0.0197,3233199
2019-11-30,"Chicago, IL","IL",3,1602.81,-0.0014,-0.006,0.0093,2947346
2019-11-30,"Dallas-Fort Worth, TX","TX",4,1467.4,0.0058,0.0165,0.0171,2356918
2019-11-30,"Philadelphia, PA","PA",5,1508.14,-0.0015,0.0093,0.0213,2110768
2019-11-30,"Houston, TX","TX",6,1389.04,0.0025,0.0068,-0.0067,2115119
2019-11-30,"Washington, DC","DC",7,1984.26,-0.0029,0.0084,0.023,2084112
2019-11-30,"Miami-Fort Lauderdale, FL","FL",8,1877.56,0.0031,0.013,0.0105,2737525
2019-11-30,"Atlanta, GA","GA",9,1476.1,0.0028,0.015,0.0366,2221853
2019-11-30,"Boston, MA","MA",10,2361.32,-0.0072,-0.0166,0.0218,1676537
2019-11-30,"San Francisco, CA","CA",11,3142.18,-0.0029,-0.0058,0.0098,1618320
2019-11-30,"Detroit, MI","MI",12,1206.13,-0.0111,0.0017,0.0079,1629144
2019-11-30,"Riverside, CA","CA",13,1917.93,0.0015,0.0047,0.0327,1352340
2019-11-30,"Phoenix, AZ","AZ",14,1468.86,0.0163,0.0403,0.0765,1674879
2019-11-30,"Seattle, WA","WA",15,2021.6,-0.0052,-0.0022,0.0186,1316793
2019-11-30,"Minneapolis-St Paul, MN","MN",16,1511.05,0.0008,0.0112,0.0177,1130390
2019-11-30,"San Diego, CA","CA",17,2542.44,0.0007,0.0104,0.0386,910516
2019-11-30,"St. Louis, MO","MO",18,1038.67,0.0084,0.0267,0.0457,1022260
2019-11-30,"Tampa, FL","FL",19,1430.68,0.0075,0.0246,0.0334,1230313
2019-11-30,"Baltimore, MD","MD",20,1614.48,0.0017,0.0054,0.0065,960891
2019-11-30,"Denver, CO","CO",21,1791.24,0.0007,0.0067,0.0205,1032696
2019-11-30,"Pittsburgh, PA","PA",22,1135.51,0.0185,0.0227,0.0331,751952
2019-11-30,"Portland, OR","OR",23,1709.98,0.0081,0.0335,0.0371,775301
2019-11-30,"Charlotte, NC","NC",24,1366.83,0.009,0.0296,0.0462,846907
2019-11-30,"Sacramento, CA","CA",25,1817.69,0.0009,0.016,0.0363,721144
2019-11-30,"San Antonio, TX","TX",26,1216.13,-0.0025,0.0024,-0.0021,764589
2019-11-30,"Orlando, FL","FL",27,1448.51,0.0052,0.0218,0.0285,912624
2019-11-30,"Cincinnati, OH","OH",28,1184.93,0.0083,0.0304,0.034,701348
2019-11-30,"Cleveland, OH","OH",29,1079.63,0.0011,0.0107,0.0137,787292
2019-11-30,"Kansas City, MO","MO",30,1136.71,0.0041,0.0137,0.0275,779680
2019-11-30,"Las Vegas, NV","NV",31,1360.1,0.0025,0.0229,0.0508,834679
2019-11-30,"Columbus, OH","OH",32,1182.39,-0.0017,-0.0002,-0.019,679713
2019-11-30,"Indianapolis, IN","IN",33,1113.8,-0.0007,0.0175,0.0276,722487
2019-11-30,"San Jose, CA","CA",34,3308.59,-0.0027,-0.0042,0.0035,518957
2019-11-30,"Austin, TX","TX",35,1627.66,0.0093,0.0221,0.0399,722021
2019-11-30,"Virginia Beach, VA","VA",36,1366.02,0.0062,0.0204,0.0167,640424
2019-11-30,"Nashville, TN","TN",37,1466.53,0.0047,0.015,0.0175,737244
